feature	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota
run03-123	0.18651962096472	0.139568499384335	0	0	0.00149900958295412	0.570185770116173	0.000401520424005568	0	0.101825579527812	0
run03-124	0.0819993329998333	0.279723194930799	0	0	0	0.53464232116058	0	0	0.103635150908788	0
run03-125	0.0831984103620842	0.189763026199588	0.000441566087724463	0.00640270827200471	0.00886811892846629	0.65730791875184	0.00320135413600236	0.000846335001471887	0.0499705622608184	0
run03-126	0.164932278825526	0.190868047773046	0	0	0	0.589894655950818	9.60584035093337e-05	0.000160097339182223	0.0540488617079184	0
run03-127	0.0425644804716286	0.244480471628592	0	0.00168017686072218	0.00568901989683125	0.657538688282977	0.0174207811348563	0	0.030626381724392	0
run03-128	0.0262626965354112	0.291776819256992	0	0	0	0.591206344789203	0.00813969667455127	0.000347850285237234	0.0822665924586058	0
run03-129	0.0536548174973792	0.305489373868293	0	0	4.76508148289336e-05	0.610406937958639	0	4.76508148289336e-05	0.0303535690460307	0
run03-130	0.0199762397148766	0.000132001584019008	0	0	0	0.419105029260351	0	0	0.560786729440753	0
run03-131	0.0442321302193914	0.324905101975166	0.000128675287910957	0	0.0217782924789294	0.521167084861352	0.00357073923952905	0.000804220549443479	0.0834137553882777	0
run03-132	0.0837862783304276	0.201466516254743	0	0	0.0106399343657061	0.646395241513691	0	0	0.0573530919905651	0.000358937544867193
run03-133	0.0265030452873425	0.224868841584755	0	0	0.000482421757221251	0.722426581438823	0.00132665983235844	0.000180908158957969	0.0242115419405415	0
run03-134	0.091571072319202	0.127581047381546	0	0.000448877805486284	0.000548628428927681	0.739850374064838	9.97506234413965e-05	0	0.0399002493765586	0
run03-135	0.0990154590206408	0.173762846532516	0.0268157872009673	0	0.0044045254339753	0.661326539424821	0.00345452975213749	0	0.0303998618188099	0.000820450816132654
run03-136	0.0643578238923163	0.227145260796411	0.000327163955879604	0	0.00682370536548888	0.662460272948215	0.00341185268274444	0.00186950831931202	0.0336044120396336	0
run03-137	0.0992173880790772	0.188791216942992	0	0	0	0.603315900745521	0	0.000148362449464041	0.108527131782946	0
run03-138	0.0871408220701157	0.30158785309753	0	0	0	0.589277648448629	0	0.000277961154928599	0.0217157152287968	0
run03-139	0.00988516853097477	0.240217027760229	0	0	0.00323311903080754	0.534468021851425	0.000148649150841726	0	0.212048013675722	0
run03-140	0.000188028831087433	0.303854591037292	0	0	0.00977749921654654	0.643277969288624	0	0	0.0429019116264494	0
run03-141	0.0192935373902952	0.0103358236019439	0	0	0.00029012838180895	0.0895771378835135	0	0	0.880503372742439	0
run03-142	0.0962531662225731	0.340405934405737	0	9.86874568242376e-05	0.000328958189414125	0.515872232639232	0	0.00013158327576565	0.0421395440639495	0.00476989374650482
run03-146	0.0591339235096594	0.168200252932711	0	0	8.72181762679342e-05	0.654703240155248	0.0406872792289913	0.000566918145741573	0.0766211678513802	0
run03-147	0.00447524180742024	0.00996102208748376	0	0	0	0.0814927096867331	0	0	0.904071026418363	0
run03-148	0.0832847311326257	0.390489521365527	0.00260507795792993	0	0.011159065282476	0.428943582565419	0.00369376725378125	0	0.0798242544422411	0
run03-149	0.0295968985785152	0.167118262536996	0	0	0	0.531201800825378	0	0.00129225895201968	0.270790779107091	0
run03-150	0.062993034979028	0.422557432562435	0.0141609266171547	0	0.0162388886751068	0.408319544387578	0.0297071612729442	7.69615577019279e-05	0.0459460499480509	0
run03-151	0.0874502881691159	0.338550860253929	0	0	0	0.501244124965441	0.000106335467131707	0	0.0683524382722613	0.00429595287212097
run03-152	0.124427928808918	0.248073538040289	0	0.000664971640915314	0.00117347936632114	0.564013299432818	0	0	0.0395071386661451	0.0221396440445922
run03-153	0.0305564594858445	0.262382037097299	0	0	0.000748454279205988	0.641718190693134	0.000488122356003905	0.000227790432801822	0.0634884477709079	0.000390497884803124
run03-154	0.0117981520966596	0.148791755508173	0	0	0.00579246624022743	0.678429282160625	0	0.000177683013503909	0.15501066098081	0
run03-155	0.0111970869367319	0	0.000394477317554241	0	0	0.544348353815809	0.00433925049309665	0	0.132787133970566	0.306933697466242
run03-156	0.147327087777881	0.175895866184337	0	0.000958476331818322	0.00163868534149584	0.647064279751415	0	0.00191695266363664	0.0244875243483907	0.000711127601026497
