feature	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota
run02-133	-2.96256995937108	-1.93310508092386	-14.7595241355176	-14.7872904265596	-9.24458158903255	-0.886781805102414	-15.1515319216358	-15.3571395900055	-3.89149690447049	-14.8194306895258
run02-134	-2.343510587645	-2.18342604442615	-13.1556878931594	-14.7872904265596	-8.51183170338472	-0.877674097041288	-13.1556878931594	-13.1556878931594	-4.81583789027482	-14.8194306895258
run02-135	-3.79188269993667	-1.76519927489515	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.839118006719066	-4.0873865908848	-15.3571395900055	-5.98362279402865	-14.8194306895258
run02-136	-3.25361309523382	-2.20012665931185	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.59635615954845	-15.1515319216358	-15.3571395900055	-5.95590741581683	-14.8194306895258
run02-137	-2.95772541698332	-2.85694200710305	-14.7595241355176	-14.7872904265596	-9.41809354655313	-0.626186473293556	-15.1515319216358	-15.3571395900055	-3.57511471476481	-14.8194306895258
run02-138	-3.80544669208702	-1.98800550798105	-14.7595241355176	-14.7872904265596	-9.21740698783686	-0.611646893520216	-15.1515319216358	-15.3571395900055	-6.20110517550776	-7.22837810565786
run02-145	-3.26035927428692	-2.90793808712702	-14.7595241355176	-14.7872904265596	-9.6505282304871	-0.492970759546962	-9.1062077142633	-15.3571395900055	-4.35743981847972	-14.8194306895258
run02-146	-3.93611826737269	-2.64962845325284	-14.7595241355176	-7.46899225694539	-7.484422297515	-0.428906604933124	-15.1515319216358	-15.3571395900055	-5.55597555854003	-14.8194306895258
run02-147	-3.75744379773158	-1.7472180661534	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.683649723677653	-15.1515319216358	-15.3571395900055	-7.48211409312941	-14.8194306895258
run02-148	-3.90477365459642	-2.24828063914377	-14.7595241355176	-10.8589699649833	-9.99647348873323	-0.846472395978899	-12.3184015836206	-15.3571395900055	-4.70001608136198	-2.98356965550259
run02-150	-3.17852553131713	-1.85231714472305	-14.7595241355176	-10.9357964720549	-5.93902037292918	-0.871919930711563	-11.5732263926702	-15.3571395900055	-4.34976093666851	-14.8194306895258
run02-151	-3.9894781942982	-1.98384423160896	-14.7595241355176	-7.73913343084892	-6.12199052437861	-0.634938676239985	-15.1515319216358	-15.3571395900055	-5.73642414359093	-8.66513284940514
run02-152	-3.19099134849073	-1.98559373875532	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.692818490481824	-15.1515319216358	-15.3571395900055	-5.69177871022717	-14.8194306895258
run02-153	-4.41620804298678	-10.4606021623452	-14.7595241355176	-14.7872904265596	-15.3571395900055	-1.54685789569565	-15.1515319216358	-15.3571395900055	-0.71264898300151	-14.8194306895258
run02-154	-3.8768447071914	-2.37372913296161	-14.7595241355176	-8.00090658158971	-6.52498684016384	-0.586841052327341	-9.92028812138142	-15.3571395900055	-4.1230495285568	-14.8194306895258
run02-155	-3.1586906572878	-2.60120889298875	-12.2085392067384	-14.7872904265596	-15.3571395900055	-0.752801020744971	-3.40182848877313	-10.138149878847	-4.87583127309776	-14.8194306895258
