feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
4180.3.lib30	852	23532	0	209	41153	0	471	4
4180.4.rerun.lib32	1102	12953	0	148	22887	0	520	0
4183.2.lib30	278	8337	0	0	21585	0	666	144
4183.3.rerun.lib32	364	5411	0	0	15364	0	494	160
4183.4.lib30	271	7135	0	0	11692	0	516	105
4184.2.rerun.lib32	246	30139	3	1063	53283	0	14072	934
4184.4.lib30	97	18039	0	172	11311	0	2768	382
4185.2.lib30	45	3885	0	22	6522	0	269	6
4187.2.rerun.lib32	373	7588	0	26	17723	0	16305	4
4187.3.lib30	398	9847	7	109	12122	0	8394	0
4187.4.lib30	246	6900	0	90	10956	0	11396	0
4188.2.rerun.lib32	267	3550	0	73	16073	5	12006	740
4188.3.lib30	190	10996	0	122	25852	9	12655	787
4190.2.lib30	140	6047	0	28	31118	0	606	0
4192.2.rerun.lib32	145	9403	0	0	22363	0	674	12
4192.4.rerun.lib32	99	25933	0	0	31603	0	903	0
4194.2.lib30	374	13399	0	184	15361	14	4806	0
4194.3.rerun.lib32	470	11764	0	128	13571	0	5295	0
M001.AS	130	2213	126	0	8961	0	582	0
M002.AS	798	13156	0	1496	19560	8780	2837	52
M002.SI	724	8729	0	499	31924	6994	2229	47
M003.SI	85	9924	46	294	11466	0	6138	8
M004.AS	2360	17071	10	137	41757	3	1907	0
M004.SI	1462	11812	22	142	22965	0	586	0
M005.AS	99	11768	0	994	10084	0	1075	3625
M006.AS	3884	29465	0	358	91186	24	11131	0
M006.SI	629	6518	0	94	28908	12	4295	0
M007.AS	2	2699	0	0	4193	1405	14501	0
M007.SI	8	8452	0	60	11102	5374	3340	0
M008.SI	27	4165	0	80	8247	0	1602	184
M009.SI	12	16726	0	279	17621	0	1587	1133
M010.SI	30	1477	0	4	16274	1	2162	0
M012.SI	398	6588	54	60	21665	0	2612	247
M013.AS	339	4955	0	24	29509	0	686	0
M013.SI	271	5404	15	58	33764	0	766	4
M014.AS	599	5082	0	46	19579	0	670	0
M014.SI	999	10545	0	45	35960	4	1059	0
M015.AS	797	13369	198	659	47467	0	2181	493
M015.SI	481	8282	218	240	34956	0	1123	304
M016.AS	91	9051	21	127	46575	0	1439	33
M016.SI	85	9371	34	48	25646	0	4092	24
M017.AS	129	3132	133	50	6809	0	249	399
M017.SI	459	6391	244	752	13427	134	2519	1213
M022.AS	1276	17849	0	65	44590	23	2420	0
M022.SI	604	7119	0	38	19835	2	1103	0
M023.AS	485	5559	52	6	29507	0	2031	0
M023.SI	1115	12639	110	0	51609	0	4438	3
P301CA1R.lib20	1637	6954	46	184	12068	0	984	199
P301SI1R.lib20	410	4701	45	92	7621	0	760	187
P302CA1R.lib21	935	3966	466	70	16638	0	972	22
P302SI1R.lib21	1083	5891	1163	127	25743	0	1430	45
P304CA1R.lib21	161	1408	0	0	14023	0	1535	0
P304SI1R.lib21	551	2611	0	9	18969	0	2781	0
P305CA1R.2.lib21	102	9874	0	84	9446	15	5030	0
P305SI1R.lib20	69	6624	0	8	2668	2	2631	0
P306CA1R.lib21	410	7704	31	153	14730	178	942	41
P306SI1R.lib21	459	17341	45	632	25759	65	2294	113
P307CA1R.lib21	438	3148	62	29	11687	0	935	28
P307SI1R.lib21	260	3606	66	65	16921	0	1428	24
P308CA1R.lib21	417	9237	95	100	41858	0	1170	6465
P308SI1R.lib20	149	4675	19	52	10650	0	336	1941
P310CA1R.lib21	352	5791	132	0	19291	0	2796	68
P310SI1R.lib21	336	5336	120	9	17446	0	2393	63
P314CA1R.lib21	947	7316	27	0	30696	0	4622	0
P314SI1R.lib21	1483	8246	234	33	23456	7	4308	0
P318CA1R.lib21	393	8288	163	43	28774	6	1597	0
P318SI1R.lib21	554	11860	129	61	30534	0	1599	4
P320CA1R.lib21	152	4518	223	380	7585	0	606	289
P320SI1R.lib20	237	4595	180	376	13548	0	470	158
P321SI1R.lib21	32	1311	0	23	11265	0	124	72
P323CA1R.lib21	1190	9747	104	132	30037	0	2399	116
P323SI1R.lib20	395	3435	65	70	11410	0	970	51
P325CA1R.lib21	1127	12540	113	168	24055	0	2013	6209
P325SI1R.lib21	136	3324	39	134	8366	0	640	1075
