feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Patescibacteria
run02-156	-3.79366825785135	-2.32983564086234	-13.8474489039824	-15.3571395900055	-0.545967592168111	-15.3637013070884	-4.57976638878836	-8.80556907182874	-15.6805518260777	-15.3571395900055
run02-162	-3.70163252105393	-2.09425615099523	-13.8474489039824	-10.0964014228268	-0.748727330921317	-15.3637013070884	-3.42802291391799	-15.5083312572928	-15.6805518260777	-15.3571395900055
run02-164	-2.76132014617833	-1.97679900511023	-13.8474489039824	-7.31204145327848	-0.893351087715166	-15.3637013070884	-4.21617290729637	-15.5083312572928	-15.6805518260777	-15.3571395900055
run03-104	-5.49434662025448	-2.49326716263518	-13.8474489039824	-15.3571395900055	-0.928953756999329	-15.3637013070884	-1.865077264354	-15.5083312572928	-15.6805518260777	-11.0706959906709
run03-108	-4.89513988995409	-1.77424045660188	-13.8474489039824	-9.56958439956224	-0.744625659033718	-10.2894764803695	-3.75123047855538	-10.3769393216198	-15.6805518260777	-13.3769393216198
run03-110	-6.3670309811679	-11.4822317430232	-13.8474489039824	-15.3571395900055	-0.615034652398656	-8.361471455826	-3.38736578012123	-2.08377275889713	-11.0619111739671	-15.3571395900055
run03-115	-5.58860390359243	-2.3148119290898	-7.36268997924274	-5.44154539995398	-1.1093202286639	-2.5476814846417	-3.23604041914257	-6.88385582938292	-15.6805518260777	-15.3571395900055
run03-123	-2.42260069186228	-2.84095473292558	-13.8474489039824	-9.38177467840354	-0.810496059888941	-11.2822390048526	-3.29582806960058	-15.5083312572928	-15.6805518260777	-15.3571395900055
run03-124	-3.60824401518725	-1.83792820637824	-13.8474489039824	-15.3571395900055	-0.903354052084005	-15.3637013070884	-3.2704146764133	-15.5083312572928	-15.6805518260777	-15.3571395900055
run03-126	-2.60005431925168	-2.38935248600414	-13.8474489039824	-15.3571395900055	-0.761470755509247	-13.3457286432538	-4.20959195526778	-15.5083312572928	-15.6805518260777	-12.6087630490876
run03-129	-4.22014847792523	-1.7108058966245	-13.8474489039824	-14.3571395900055	-0.712156734776455	-15.3637013070884	-5.04199002774916	-15.5083312572928	-15.6805518260777	-14.3571395900055
run03-131	-4.49876146567185	-1.62190969644472	-13.8474489039824	-5.52096534539624	-0.940182123810955	-8.12956150262113	-3.58357087811794	-15.5083312572928	-12.9239773689712	-10.2801211791965
run03-138	-3.52050746634394	-1.72934977181414	-13.8474489039824	-15.3571395900055	-0.76298054969542	-15.3637013070884	-5.52511671959653	-15.5083312572928	-15.6805518260777	-11.812829099146
run03-147	-7.8038186481084	-6.6494905017171	-13.8474489039824	-15.3571395900055	-3.61718518772227	-15.3637013070884	-0.145491975525338	-15.5083312572928	-15.6805518260777	-15.3571395900055
run03-149	-5.07841018418473	-2.58105869642601	-13.8474489039824	-15.3571395900055	-0.912668057318792	-15.3637013070884	-1.8847494813916	-15.5083312572928	-15.6805518260777	-9.5958890881899
run03-153	-5.03237879882655	-1.93025913970922	-13.8474489039824	-10.3837981904233	-0.639988215215051	-11.0004695508718	-3.9773620838713	-11.3223976457592	-15.6805518260777	-12.1000052244227
run03-155	-6.4807327439714	-11.4822317430232	-13.8474489039824	-15.3571395900055	-0.877397900250326	-7.84833841325341	-2.91281272723924	-1.70400105058615	-11.3077700318907	-15.3571395900055
run03-160	-5.90236107793423	-1.83062908355142	-7.32008766474072	-4.87970396959604	-1.13953521037601	-2.93909362898884	-3.86392228032826	-6.80623242924396	-15.6805518260777	-15.3571395900055
run03-170	-2.26029263388338	-2.55440174706761	-13.8474489039824	-8.41003975338807	-0.853466079253686	-9.17557449975104	-3.9968598585756	-13.8194306895258	-12.2344681888046	-15.3571395900055
run03-171	-3.45161972947833	-1.67596583813639	-13.8474489039824	-15.3571395900055	-1.06884607937044	-12.6439125439491	-3.0735824429183	-15.5083312572928	-15.6805518260777	-15.3571395900055
run03-173	-2.47122787032988	-1.89290894763913	-13.8474489039824	-15.3571395900055	-0.96316907881128	-15.3637013070884	-4.7381257114793	-15.5083312572928	-15.6805518260777	-15.3571395900055
run03-176	-3.75628992926759	-1.7972335973034	-13.8474489039824	-12.9380633680764	-0.693996903881579	-15.3637013070884	-5.64344261918477	-15.5083312572928	-15.6805518260777	-15.3571395900055
run03-178	-4.42307237673808	-1.82663128975307	-13.8474489039824	-4.37693910821758	-0.975838044834727	-9.1340985715449	-3.15292604523588	-15.5083312572928	-11.2292558045852	-11.8813325011649
run03-185	-3.28762112567409	-1.72090401383682	-13.8474489039824	-15.3571395900055	-0.807976954065674	-15.3637013070884	-5.4578101877085	-15.5083312572928	-15.6805518260777	-11.7033628939642
run04-102	-8.85284817069631	-1.77047420611877	-13.8474489039824	-15.3571395900055	-3.50723989796501	-5.46926555789516	-1.23461778859708	-2.56510328007564	-15.6805518260777	-11.8326702887587
run04-108	-1.88334586257249	-3.6141592297571	-7.77851397315647	-15.3571395900055	-0.776105412348292	-15.3637013070884	-4.09679823955572	-12.2131422007932	-15.6805518260777	-12.8912141059058
