feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Patescibacteria
run03-170	0.208729637187424	0.17023484245841	0	0.0029398540448933	0.553453463839795	0.00172932590876077	0.0626361844153149	6.91730363504306e-05	0.000207519109051292	0
run03-171	0.0914026795828288	0.312956525135737	0	0	0.476700128901215	0.000156243896722784	0.118784422483497	0	0	0
run03-173	0.180337599703209	0.269263587460582	0	0	0.512928955666852	0	0.0374698571693563	0	0	0
run03-176	0.0740021025134593	0.287725781274888	0	0.000127425058137683	0.618138957025899	0	0.0200057341276162	0	0	0
run03-178	0.0466146622235686	0.281922144804605	0	0.0481293547409876	0.508444410784611	0.00177976370796728	0.112428052105423	0	0.000416540442290215	0.000265071190548319
run03-185	0.10240647724717	0.303358572606642	0	0	0.571182247544793	0	0.0227528300472299	0	0	0.00029987255416448
run04-102	0.00216285374843879	0.293112377006732	0	0	0.0879458981935602	0.0225728820787766	0.424955067474944	0.168976756937886	0	0.000274164559661254
run04-108	0.271054363564565	0.081663814663683	0.00455442938001843	0	0.583941029353692	0	0.0584441226800053	0.000210609451099118	0	0.000131630906936949
run04-109	0.0369017752230938	0.080694845819175	0	0.0112420210232145	0.283813395153863	0.266124678459144	0.291593889929817	0.0296293943916923	0	0
run04-147	0.122576404863621	0.0756654617154124	0	0	0.50624383831745	0.00303976339139008	0.287627341439369	0.001232336510023	0.00139664804469274	0.00221820571804141
run04-148	0.0457676928265164	0.227441345088404	0	0	0.651105651105651	0	0.0755889579418991	0	9.63530375295081e-05	0
run04-149	0.180121089808274	0.202458490046785	0	0.00738464361067792	0.59301898908357	0.0010549490872397	0.0149527566278323	0	0.00100908173562059	0
run04-155	0.0215287200361827	0.230619629127092	0.000135685210312076	0	0.154862053369516	0.0239710538218001	0.317096336499322	0.251786521935776	0	0
run04-163	0.171840681855434	0.12915915423701	0.00216357974102606	0	0.528306834945091	0.00603179806589084	0.106343222422554	0.0561547287329946	0	0
run04-165	0.0317382995465957	0.120545583992206	0	0.0111290141267284	0.38307040881328	0.246636939333758	0.166672911904673	0.0402068422827594	0	0
run04-97	0.0455539481209837	0.217743834740773	0	0	0.653803451872287	0	0.0828987652659557	0	0	0
run04-98	0.140238723233046	0.218069649962001	0	0.00692923241986678	0.594170503822254	0.000268228351736779	0.0392954535294381	0	0.00102820868165765	0
run05-127	0.0168780687397709	0.0120362793235134	0	0	0.235338243316967	0.000170485542825968	0.735576923076923	0	0	0
run06-128	0.0496173359704188	0.281451543554906	0	0	0.450511651904721	0	0.217559549402356	0.000429959583799123	0	0.000429959583799123
run06-129	0.118239271017049	0.0697383891828336	0	0.00470311581422693	0.731995884773663	0.020870076425632	0.0444591416813639	0.00558495002939447	0.00271898883009994	0.0016901822457378
run06-130	0.147736209414672	0.173913043478261	0	0.00466239748342883	0.665487023929896	0	0.00820132569374228	0	0	0
