feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
run07-Cah7-115	353	12235	0	76	8293	0	485	26
run07-Cah7-116	429	4399	94	72	9943	3	388	237
run07-Cah7-117	383	6821	18	94	15011	0	0	0
run07-Cah7-121	707	4155	0	71	22645	0	487	4309
run07-Cah7-122	1876	5093	32	221	13181	6	366	168
run07-Cah7-123	1080	11239	12	187	4477	0	6120	0
run07-Cah7-124	1914	4789	19	158	14585	0	268	0
run07-Cah7-125	799	8030	0	176	13617	0	1310	16
run07-Cah7-126	3934	4061	158	0	18707	0	453	0
run07-Cah7-127	1219	7387	0	5	9797	0	1851	27
run07-Cah7-129	1392	6897	0	80	22143	0	1281	22
run07-Cah7-130	1997	7908	0	25	15674	0	740	8
run07-Cah7-131	1624	4849	0	30	18468	6	542	0
run07-Cah7-132	2432	9495	0	34	24349	0	1237	6
run07-Cah7-133	1570	7493	18	82	18209	0	733	271
run07-Cah7-134	3982	1800	0	2	16904	0	133	0
run07-Cah7-135	3534	3689	0	63	17335	0	140	0
run07-Cah7-136	203	3160	3	9	16489	0	172	31
run07-Cah7-137	909	8809	732	173	19594	0	1179	17
run07-Cah7-147	595	4211	0	41	8279	0	1809	0
run07-Cah7-148	1400	7969	0	106	12673	0	188	57
run07-Cah7-149	3118	6362	0	49	8925	0	237	0
run07-Cah7-150	595	4047	0	26	17291	0	2013	0
run07-Cah7-151	335	6640	0	4	15677	0	71	0
run07-Cah7-152	730	2490	0	39	8709	2	833	6
run07-Cah7-153	1223	5997	34	65	13044	3	482	3414
run07-Cah7-154	1104	5934	0	681	9574	0	1037	2
run07-Cah7-155	1255	3323	11	31	17602	0	745	3
run07-Cah7-156	1300	8071	46	142	12262	0	1888	0
run07-Cah7-159	359	8016	0	71	15807	0	604	0
run07-Cah7-160	1456	8747	0	37	17050	0	148	299
run07-Cah7-162	254	7771	0	6	9524	0	6096	0
run07-Cah7-163	1783	6941	258	120	16703	27	1372	934
run07-Cah7-164	536	5000	146	101	8880	0	675	315
run07-Cah7-165	443	15145	6	127	11749	0	509	99
run07-Cah7-166	450	4061	100	65	12033	0	473	656
run07-Cah7-167	419	7951	23	109	19833	0	4	0
run07-Cah7-168	1244	9990	0	154	11780	15	1255	0
run07-Cah7-169	692	4652	0	72	22310	0	510	2655
run07-Cah7-170	2265	5785	23	292	12369	9	513	231
run07-Cah7-171	631	9575	26	401	4368	0	8509	2
run07-Cah7-172	1466	3426	24	127	11308	0	209	0
run07-Cah7-173	855	8077	0	96	8910	0	1077	7
run07-Cah7-174	4739	4234	147	2	15890	0	583	6
run07-Cah7-175	1502	7619	0	53	11304	0	1709	82
run07-Cah7-176	1237	7867	0	8	14424	0	603	0
run07-Cah7-177	1438	6143	0	43	18250	0	1968	10
run07-Cah7-178	1806	8747	0	24	11461	0	769	10
run07-Cah7-179	1611	4753	0	26	15968	4	624	0
run07-Cah7-180	2100	6982	0	40	16015	0	1049	4
run07-Cah7-181	1107	8962	9	87	11722	0	540	132
run07-Cah7-182	3254	2169	0	5	13367	0	287	0
run07-Cah7-183	2497	5551	0	47	13549	0	217	0
run07-Cah7-184	1107	4755	4	61	14192	0	403	114
run07-Cah7-185	667	5174	350	93	12981	0	797	9
run03-99	139	4934	3	0	10112	77	2919	0
run03-143	6018	5376	0	0	17719	141	1003	0
run04-146	7384	3150	0	0	14017	0	190	0
run02-123	1586	1349	0	0	8750	0	3802	0
run02-173	695	7	0	0	7741	0	1570	0
run06-111	421	3052	0	20	13878	175	4197	674
run06-166	201	2780	3	15	7755	16	713	875
4002.III.2.lib30	893	6683	1083	423	43761	0	1821	0
4002.V.3.lib30	350	5007	964	446	18773	0	1671	0
4002.VI.4.lib30	226	5628	906	324	15562	0	1351	0
4004.III.2.lib30	542	13891	0	0	26523	86	6485	0
4004.V.3.lib30	204	5007	0	0	9110	28	1502	0
4004.VI.4.lib30	337	2205	0	0	7295	27	916	0
4008.III.2.lib30	191	1881	0	0	7878	0	6438	0
4008.V.3.lib30	1283	9601	0	0	19756	0	12469	12
4008.VI.4.lib30	1923	27773	0	0	30913	0	17540	64
4009.III.2.lib30	2752	18859	26	0	44202	15	1702	0
4009.V.3.lib30	1173	8145	26	0	21893	9	789	0
4009.VI.4.lib30	1301	5806	8	0	21920	0	704	0
4010.III.2.lib30	711	2970	264	104	8792	0	140	681
4010.V.3.lib30	1042	9322	1001	317	21367	0	408	2474
4010.VI.4.lib30	1790	22830	1193	490	37625	0	737	2695
4011.3.rerun.lib32	3442	0	0	0	26150	0	38520	36
4011.4.rerun.lib32	4979	0	0	0	13558	0	18397	0
4011.III.2.lib30	604	0	0	0	2319	0	9080	5
4012.4.lib30	194	15195	123	1027	33402	0	1071	5297
4012.III.2.lib30	86	5859	110	343	10371	0	584	3576
4012.V.3.lib30	248	9093	98	452	16514	0	877	2818
4021.2.lib30	157	34294	0	0	36889	0	6775	0
4021.3.lib30	27	5657	0	0	7770	0	1148	0
4021.4.lib30	49	8698	0	0	18240	8	3606	0
4026.2.lib30	19	1435	0	0	17289	27	19625	0
4026.3.lib30	0	963	0	0	10253	11	15580	0
4026.4.lib30	56	3461	0	0	36011	10	27010	0
4029.2.lib29	13	177	0	6	542	0	29247	0
4029.3.lib29	60	303	0	0	1420	0	18413	0
4029.4.lib29	24	337	0	0	2701	0	46451	0
4031.2.lib29	343	5961	0	0	14141	2	659	0
4031.3.lib29	73	10178	0	0	12425	0	252	0
4031.4.lib29	84	9363	0	0	15786	9	280	0
4032.2.lib29	249	10090	0	0	18141	0	277	0
4034.2.lib29	205	3838	0	0	16091	0	1195	0
4034.3.lib29	89	3863	0	0	11617	0	761	38
4034.4.lib29	93	7924	0	0	12312	0	705	0
4038.2.lib29	138	9875	312	247	16592	17	2956	1259
4038.3.lib29	42	10089	355	364	11098	7	2691	3436
4038.4.lib29	92	10566	162	385	16094	37	3321	2569
4039.2.rerun.lib32	198	6245	0	30	18076	0	7678	0
4039.3.lib29	74	5272	0	0	7666	3	16828	0
4039.4.lib29	28	9298	0	0	6890	2	28772	0
4041.2.lib29	1515	4017	0	0	12014	0	297	61
4041.3.lib29	1367	2842	0	0	9779	0	175	46
4041.4.lib29	1584	6599	0	0	16709	0	370	74
4045.2.lib29	465	7416	0	20	10791	53	2652	375
4045.3.lib29	612	6745	0	38	12980	59	3728	325
4045.4.lib29	349	10266	0	64	14016	37	4908	957
4047.2.lib29	858	6385	0	300	14529	82	3394	133
4047.3.lib29	877	9595	0	195	13031	0	3024	531
4047.4.lib29	715	10364	0	228	13345	5	3337	450
4050.2.lib29	267	12006	0	224	16829	0	1924	6234
4050.3.lib29	250	10515	0	177	10922	0	1158	4914
4050.4.lib29	566	12013	0	373	15765	0	1141	13932
4052.2.lib29	885	11575	80	1240	18219	0	4476	6500
4052.3.lib29	327	4007	6	546	6881	0	1678	1482
4052.4.lib29	110	4371	0	0	5979	529	7282	10
4055.2.lib29	821	8621	104	981	18219	0	8572	0
4055.3.lib29	381	3478	54	419	10746	0	24822	0
4055.4.lib29	317	3164	48	431	12260	0	6507	0
4059.2.lib29	110	8174	0	23	11338	1225	9126	112
4059.3.lib29	602	6230	77	486	14769	0	7511	0
4061.2.lib29	65	7575	0	0	13757	22	8067	0
4061.3.lib29	89	10744	0	0	16252	13	6822	0
4061.4.lib29	132	19025	0	0	18237	22	7824	0
4062.2.lib29	211	100	0	0	60253	0	10154	0
4062.3.lib29	132	51	0	0	46294	0	2711	0
4062.4.lib29	145	27	0	0	28712	0	1189	0
4069.2.lib29	99	6875	0	0	38608	0	5024	0
4069.3.lib29	88	10507	0	0	52607	0	5368	0
4069.4.lib29	151	7946	0	0	41089	0	4479	0
4074.2.lib29	4	0	0	0	7994	3	2967	0
4074.3.lib29	0	0	0	0	33411	0	10035	0
4074.4.lib29	0	8	0	0	55421	12	25333	0
4078.2.lib29	331	8329	0	0	17518	0	22988	0
4078.3.lib29	584	11469	0	0	16338	0	19074	0
4078.4.lib29	1243	13218	0	0	20744	0	18870	0
4082.2.lib29	147	7156	0	41	25051	8188	1273	262
4082.3.lib29	209	17706	0	118	37417	7686	2505	1599
4082.4.lib29	144	24521	0	99	29688	10696	3069	1968
4084.2.lib29	400	7615	0	865	22390	3	1364	45
4084.3.lib29	343	13317	0	949	24146	10	2647	40
4084.4.lib29	538	15605	0	908	27572	0	3142	67
4085.2.lib29	122	9957	173	0	25749	0	3399	3
4085.3.lib29	181	20938	522	0	46115	0	4641	63
4085.4.lib29	80	736	77	0	36617	0	1195	125
4094.2.lib29	181	13456	0	0	41073	0	25	0
4094.4.lib29	261	6758	0	0	22342	0	31	0
4095.2.lib29	142	4352	0	0	10428	0	5097	0
4095.3.lib29	687	11442	0	0	25829	0	7520	2
4095.4.lib29	434	7335	0	0	16405	0	3840	0
4098.2.lib29	356	20007	0	158	14432	0	24325	15
4098.3.lib29	227	11809	0	256	13404	0	9018	25
4098.4.lib29	283	7691	3	162	8616	0	7875	8
4100.2.lib29	257	0	0	0	35095	51	22309	0
4100.3.lib29	55	0	11	0	25033	4	23546	0
4100.4.lib29	103	9	0	0	36282	14	37967	0
4104.3.lib29	278	21479	0	0	29762	31	1234	1193
4104.4.lib29	76	10435	0	0	10943	11	691	445
4106.2.lib29	76	22189	0	150	46968	0	9234	0
4108.2.lib29	184	14808	0	18	25396	0	17140	35
4108.3.lib29	203	10182	0	18	16653	0	7019	10
4108.4.lib29	165	9598	0	20	15713	11	5552	5
4109.2.lib29	509	5362	0	0	21177	18	2079	0
4109.3.lib29	415	12789	5	95	21389	18	6235	0
4109.4.lib29	732	14089	0	0	26186	60	6387	0
4115.3.lib29	0	10873	0	9	6917	1153	25972	0
4115.4.lib29	3	10009	0	10	5688	1018	34524	0
4122.2.lib29	107	11964	0	179	29222	6919	2986	0
4122.3.lib29	42	4819	0	277	11270	3115	1145	0
4122.4.lib29	59	12177	0	906	26265	8860	3499	0
4129.2.lib29	3418	13130	0	372	21264	0	2123	0
4129.3.lib29	1604	10030	0	282	16945	0	1702	0
4129.4.lib29	2627	20463	0	461	28769	0	1925	0
4134.4.lib29	1449	17834	0	0	29543	2	3684	0
4135.2.lib29	66	6598	0	0	10691	0	907	0
4135.3.lib29	77	8828	0	0	14454	0	1039	0
4135.4.lib29	38	11420	0	0	14719	0	1355	0
4136.2.lib29	14	11204	0	0	35455	0	4719	0
4136.3.lib29	110	15329	0	0	39032	0	9153	0
4136.4.lib29	20	12120	0	0	32056	0	4722	0
4142.3.lib29	402	12169	0	625	32118	0	1398	866
4142.4.lib29	369	14938	0	538	22926	0	1188	741
4143.2.lib29	635	21801	0	1027	22722	6	4214	167
4143.3.lib29	748	19627	0	831	20508	32	3795	160
4143.4.lib29	586	17369	0	1103	18252	8	2459	110
4153.2.lib29	268	1869	0	0	20774	18	2458	171
4153.3.lib29	724	3494	0	0	31184	19	2522	109
4153.4.lib29	409	5733	0	0	45641	16	4318	404
4160.2.lib29	200	45112	0	0	31535	0	445	0
4160.3.lib29	0	31628	0	0	23498	0	342	0
4160.4.lib29	0	38604	0	0	30725	0	440	0
4161.2.lib29	79	963	0	0	29699	38	21738	0
4161.3.lib29	61	1021	0	0	18768	63	9290	0
4161.4.lib29	63	775	0	0	16316	44	3682	0
4191.2.lib29	221	9859	0	118	15016	30	7433	37
4191.3.lib29	240	18026	0	111	15468	3	7477	107
4191.4.lib29	130	16614	0	87	11620	0	7847	19
4195.2.lib29	205	35	0	0	37622	0	8760	0
4195.3.lib29	216	176	0	0	31822	0	5130	0
M001.AS	130	2213	126	0	8961	0	582	0
M002.AS	798	13156	0	1496	19560	8780	2837	52
M002.SI	724	8729	0	499	31924	6994	2229	47
M003.SI	85	9924	46	294	11466	0	6138	8
M004.AS	2360	17071	10	137	41757	3	1907	0
M004.SI	1462	11812	22	142	22965	0	586	0
M005.AS	99	11768	0	994	10084	0	1075	3625
M006.AS	3884	29465	0	358	91186	24	11131	0
M006.SI	629	6518	0	94	28908	12	4295	0
M007.AS	2	2699	0	0	4193	1405	14501	0
M007.SI	8	8452	0	60	11102	5374	3340	0
M008.SI	27	4165	0	80	8247	0	1602	184
M009.SI	12	16726	0	279	17621	0	1587	1133
M010.SI	30	1477	0	4	16274	1	2162	0
M012.SI	398	6588	54	60	21665	0	2612	247
M013.AS	339	4955	0	24	29509	0	686	0
M013.SI	271	5404	15	58	33764	0	766	4
M014.AS	599	5082	0	46	19579	0	670	0
M014.SI	999	10545	0	45	35960	4	1059	0
M015.AS	797	13369	198	659	47467	0	2181	493
M015.SI	481	8282	218	240	34956	0	1123	304
M016.AS	91	9051	21	127	46575	0	1439	33
M016.SI	85	9371	34	48	25646	0	4092	24
M017.AS	129	3132	133	50	6809	0	249	399
