feature	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota
run02-74	0.0501127354716707	0.0363662811840861	0.000145465124736344	0	0	0.572332533275147	0	0	0.34104298494436	0
run02-76	0.0706690162240992	0.261590812420247	0.000425350914504466	0	0.00583338397034697	0.601932308440177	0.0012760527435134	0.000121528832715562	0.0581515464543963	0
run02-77	0.182216986880052	0.169950038588082	0	0	0.00243714204476218	0.553068768024696	0	0	0.0918396360534546	0.000487428408952435
run02-78	0.0436559354131366	0.0623442639290342	0.00119605302501744	0	0	0.641981461178112	0.0294528057410545	0.00194358616565334	0.219425894547992	0
run02-79	0.0620407179857848	0.392603300807132	0	0	0.000481869654258523	0.487290687868931	0.000722804481387785	0	0.0568606192025057	0
run02-80	0.133294249320471	0.21670308586047	0	0	0	0.627884666631136	0.000106592762351436	0.000213185524702873	0.0217982199008687	0
run02-81	0.0517843151221597	0.0175938457155068	0	0	0	0.492485219744996	0	0.000925991879763516	0.437210627537574	0
run02-82	0.140325107716412	0.255189972581277	0	0	0.00215432824128476	0.574373286329808	0	0.000244810027418723	0.0241872307089698	0.00352526439482961
run02-83	0.0236004732548727	0.295846565788654	0	0.000124540755962389	0.000871785291736721	0.570023040039853	0.000747244535774332	0	0.108786350333147	0
run02-84	0.055357223552804	0.320891138325275	0	0	0	0.596909033395092	0	0	0.026842604726829	0
run02-85	0.0909733550842849	0.292224034801523	0	0	0.000435019032082654	0.56552474170745	0	0	0.0508428493746601	0
run02-86	0.163663766527369	0.232170994039871	0	0	0.00226073850791258	0.563608960745359	0	0	0.0382955401794889	0
run02-87	0.0713732576148683	0.319501806917914	0	0	0	0.51439081053175	0.0780201342281879	0	0.0167139907072793	0
run02-88	0.121122072982289	0.257518126708665	0	0	0	0.602757636990372	0	0	0.0186021633186735	0
run02-89	0.132576316177555	0.202403775254387	0	0	0.00162217961952514	0.634788379295089	0	0	0.0284618787789412	0.000147470874502286
run02-90	0.0713865253919837	0.290790389040509	0	0	0.00133782843688125	0.611387595654733	0	0	0.0194787820409911	0.00561887943490127
run02-91	0.0486306009871286	0.248282202651698	0	0	0	0.148359624504016	0.0597599922578148	0	0.378834801122617	0.116132778476725
run02-92	0.0523697478991597	0.122352941176471	0.000134453781512605	0.00477310924369748	0.00242016806722689	0.602756302521008	0.00053781512605042	0.00235294117647059	0.211697478991597	0.000605042016806723
run03-49	0.0199212985735366	0.23126742088867	0	0	0	0.741678963764552	0	0	0.00713231677324151	0
run03-50	0.0529614363954604	0.180904522613065	0.000282310428547231	0	0.000338772514256677	0.647563661001637	0.03771667325391	0.000846931285641692	0.0793856925074812	0
run03-51	0.0504278379920137	0.0387335995436395	0	0	0	0.802452937820878	0	0	0.108385624643468	0
run03-52	0.0563068055863445	0.318443804034582	0.00310352471735757	0	0.00653956994014631	0.499057858567945	0.00604078918199956	0.000110840168477056	0.110396807803148	0
run03-53	0.137835123232635	0.062388936104458	0	0	0	0.783628216024106	0	0.000270416441319632	0.0158773081974813	0
run03-54	0.0779395994049884	0.334451862870585	0.00913273601549798	0	0.0049468986750614	0.535095305635313	0.0105856712906908	0.000657280243539627	0.0271906458643235	0
run03-57	0.0478063431901884	0.290377945435692	0	0	0	0.572424643329638	0	0	0.0881395930918583	0.00125147495262273
run03-58	0.11114307633295	0.222525891829689	0	0.000431530494821634	0.00115074798619102	0.614643268124281	0	0	0.0359129267357115	0.014192558496356
run03-59	0.0292602192174375	0.293882521937358	0	0	0.000687006214283484	0.611529213377885	0.000968054211035818	0.000343503107141742	0.0629235237173282	0.000405958217531149
run03-60	0.00100230158140916	0.0805924716014552	0	0	0.000371222807929319	0.73613482812384	0	0	0.181899175885366	0
run03-61	0.0087378640776699	0	0.000455097087378641	0	0	0.655279126213592	0.00245752427184466	0	0.0645934466019417	0.268476941747573
run03-62	0.127049456851764	0.168139801632818	0	0.000944605627150665	0.00236151406787666	0.681465488158694	0	0.000269887322043047	0.0197692463396532	0
run03-63	0.0509674134419552	0.20234215885947	0	0	0	0.714307535641548	0	0	0.0323828920570265	0
run03-64	0.0844298245614035	0.117356811145511	0	0	0.00206398348813209	0.70343137254902	0.000386996904024768	0	0.0923310113519092	0
run03-66	0.0423183072677093	0.244572217111316	0	0.00496780128794848	0.0192732290708372	0.478012879484821	0.127920883164673	0	0.0778288868445262	0.00510579576816927
run03-67	0.11064884482606	0.339647694078074	0	0.00554719542061314	0.0015343306482547	0.526186893275501	0	0	0.0150777492549644	0.001357292496533
