feature	Actinobacteriota	Bacteroidota	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Cyanobacteria	Synergistota
4084.2.lib29	-6.35292621305926	-2.10215408145933	-5.24022608030989	-0.546215495094022	-13.4118199021128	-4.58315447380981	-9.50492930650431	-15.6948838192602	-16.0232923212568	-11.2963426846929
4084.3.lib29	-6.917924378829	-1.63900765095556	-5.4497248679807	-0.780492551883141	-12.0180610501144	-3.96984666550641	-10.0180610501144	-12.7550266442807	-16.0232923212568	-11.1700641435595
4084.4.lib29	-6.47473879102249	-1.61648041677254	-5.7196526662882	-0.79528485360104	-15.8345698072174	-3.92873368828492	-9.48011196312134	-15.6948838192602	-16.0232923212568	-11.4587383123288
4086.2.lib27	-9.78553084598435	-4.3666385508438	-15.3570708427733	-1.13639773066299	-15.8345698072174	-5.14009448623688	-1.09879049716039	-15.6948838192602	-16.0232923212568	-12.0684648092559
4086.3.lib30	-9.55402448323133	-3.45555000505073	-15.3570708427733	-1.51944512389413	-15.8345698072174	-5.61042617074194	-0.895662965116311	-15.6948838192602	-16.0232923212568	-10.4264744335108
4086.4.lib30	-9.42875272498304	-2.97960407960761	-15.3570708427733	-1.00905583667706	-15.8345698072174	-4.52487087924686	-1.5958627108183	-15.6948838192602	-16.0232923212568	-10.6213978029254
4092.2.lib27	-8.76075645295826	-1.79891858157614	-15.3570708427733	-0.57844689164526	-10.3958424331053	-4.65641979314353	-12.1183084575763	-15.6948838192602	-16.0232923212568	-14.0601892784634
4092.3.lib30	-8.20114373205303	-1.55188755453572	-15.3570708427733	-0.654828009235758	-11.9381093262192	-5.65270710735699	-11.9381093262192	-15.6948838192602	-16.0232923212568	-14.0601892784634
4096.2.rerun.lib32	-6.63142288443	-2.2636834843719	-8.88667993967207	-0.502557696818709	-10.4485588272802	-3.77613348530869	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4096.4.rerun.lib32	-5.60646977388462	-1.77962571293135	-8.17475353345914	-0.71292130587024	-9.67518252396863	-3.76711948210226	-15.0150011765143	-15.6948838192602	-16.0232923212568	-14.0601892784634
4097.2.lib27	-5.86225406760615	-2.78119305320669	-6.78670303459897	-0.850826401686107	-15.8345698072174	-1.87458764363432	-15.0150011765143	-15.6948838192602	-9.81645037799302	-14.0601892784634
4097.3.lib30	-5.94152599004204	-1.78873042470621	-6.4970647304233	-0.729183273886526	-15.8345698072174	-3.67096966658842	-15.0150011765143	-15.6948838192602	-9.40492651088229	-14.0601892784634
4111.2.lib27	-6.83938846619509	-1.21998692675516	-8.95173619206059	-0.952291914465935	-10.2941283895077	-4.61565400286337	-13.5165208108441	-15.6948838192602	-16.0232923212568	-9.40104359342418
4111.3.lib30	-6.50684259772955	-1.29382094403967	-9.98001427299315	-0.891249276372839	-10.6836212702129	-4.65366363674622	-15.0150011765143	-15.6948838192602	-16.0232923212568	-10.5649767737143
4111.4.rerun.lib32	-5.40361189248107	-2.99779572907327	-7.19934148941905	-0.293396790466548	-9.63068080102699	-5.40594824123603	-11.6750749203854	-15.6948838192602	-16.0232923212568	-8.26568398424774
4113.3.lib27	-9.35081643555232	-3.83424090981142	-6.12842401421587	-0.157975692840677	-15.8345698072174	-5.87688524721991	-10.3508164355523	-15.6948838192602	-16.0232923212568	-14.0601892784634
