feature	Actinobacteriota	Bacteroidota	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Cyanobacteria	Synergistota
4173.3.lib30	156	9925	0	55483	0	18158	50	0	0	0
4173.4.lib30	200	29727	0	56177	0	36322	552	0	0	0
4174.2.lib30	543	8766	0	14943	20	265	0	0	0	0
4174.3.lib30	1053	11470	0	19794	0	581	0	0	0	0
4174.4.lib30	438	3671	0	6147	5	155	0	0	0	0
4176.2.lib30	90	16	0	49610	9	2156	0	0	0	0
4176.3.rerun.lib32	113	0	0	43193	0	1692	0	0	0	0
4176.4.lib30	248	0	0	75620	0	4125	0	0	0	0
4177.2.lib30	603	10326	17	20898	4	3015	100	0	0	0
4177.3.lib30	815	10314	24	29304	0	3656	206	0	0	0
4177.4.lib30	1886	35402	83	54835	0	6401	487	0	0	0
4178.2.rerun.lib32	945	13498	0	32944	0	48605	0	0	0	0
4178.3.lib30	43	7511	0	6899	0	9633	0	0	0	0
4178.4.rerun.lib32	14	4357	0	5325	0	5690	0	0	0	0
4180.2.lib30	344	12588	73	19243	0	285	0	0	0	0
4180.3.lib30	852	23532	209	41153	0	471	4	0	0	0
4180.4.rerun.lib32	1102	12953	148	22887	0	520	0	0	0	0
4183.2.lib30	278	8337	0	21585	0	666	144	0	0	0
4183.3.rerun.lib32	364	5411	0	15364	0	494	160	0	0	0
4183.4.lib30	271	7135	0	11692	0	516	105	0	0	0
4184.2.rerun.lib32	246	30139	1063	53283	0	14072	934	0	3	164
4184.4.lib30	97	18039	172	11311	0	2768	382	0	0	27
4185.2.lib30	45	3885	22	6522	0	269	6	0	0	0
4187.2.rerun.lib32	373	7588	26	17723	0	16305	4	0	0	0
4187.3.lib30	398	9847	109	12122	0	8394	0	0	7	0
4187.4.lib30	246	6900	90	10956	0	11396	0	2	0	0
4188.2.rerun.lib32	267	3550	73	16073	5	12006	740	0	0	0
4188.3.lib30	190	10996	122	25852	9	12655	787	0	0	0
4190.2.lib30	140	6047	28	31118	0	606	0	0	0	0
4191.2.lib29	221	9859	118	15016	30	7433	37	0	0	0
