feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Patescibacteria
run03-103	-3.55119923253193	-1.54227245074235	-14.7872904265596	-6.87136686955485	-1.14932298132832	-7.59471285443193	-3.22704158693227	-15.5083312572928	-16.253348924675
run03-105	-4.07487779280934	-1.46961787785495	-14.7872904265596	-4.17856909585156	-1.19163313055519	-6.63108130054907	-3.70908381255034	-15.5083312572928	-16.253348924675
run03-106	-3.30506287949643	-2.02661510352199	-10.9292055616969	-9.41463238886712	-0.908126444636999	-12.1515979830333	-3.18437172419734	-6.94865792436305	-12.1515979830333
run03-107	-4.55440612796884	-1.74930206027176	-14.7872904265596	-10.3617610500264	-0.775025491739256	-11.3617610500264	-3.77346283674203	-9.62479545586024	-13.5316860514688
run03-109	-9.96596461027208	-3.75164548947132	-14.7872904265596	-14.6439125439491	-0.505423390306219	-15.6803595235137	-2.18242064948555	-15.5083312572928	-16.253348924675
run03-111	-3.23092689697368	-2.12091936493292	-9.11473387946916	-8.46265718288946	-0.65101490242876	-15.6803595235137	-5.53550774829714	-11.3371263008056	-12.5070513022479
run03-112	-3.6358066403861	-1.84133160717967	-14.7872904265596	-11.125472177478	-0.788458537053455	-9.58490379611531	-4.06428511555903	-15.5083312572928	-16.253348924675
run03-113	-3.6411679148039	-1.27668357795221	-14.7872904265596	-14.6439125439491	-1.03131782021142	-15.6803595235137	-5.80837341489263	-15.5083312572928	-16.253348924675
run03-114	-3.37743168081174	-3.41381362557112	-14.7872904265596	-7.31266690211422	-0.540548738828363	-9.49553095926403	-3.12331296631484	-15.5083312572928	-16.253348924675
run03-116	-3.00774802375568	-2.45217477163764	-11.0991834100793	-6.43384749289411	-0.761561508086778	-15.6803595235137	-3.47530192006583	-9.77725531519192	-16.253348924675
run03-117	-2.9551262500386	-1.54560930713838	-6.74609604377785	-9.64162677722182	-1.00660224746391	-15.6803595235137	-5.69291600591868	-10.144127117751	-16.253348924675
run03-118	-3.93624263511174	-2.03187088372605	-5.86421294883909	-7.24835644017215	-0.84839365935501	-12.7159619902551	-4.07030355784643	-4.28446438599709	-16.253348924675
run03-119	-4.0608735327712	-1.79152995489592	-14.7872904265596	-7.94062145292107	-1.03994938004771	-13.4797802640291	-2.64294090428038	-10.6724253419715	-16.253348924675
run03-120	-2.84765363435316	-3.0896492164872	-14.7872904265596	-7.29181455492972	-0.721873151050536	-10.5894951035704	-2.94123740006407	-15.5083312572928	-13.7594201050127
run03-121	-3.75250821895575	-1.55522209975266	-14.7872904265596	-14.6439125439491	-0.963536491295771	-8.30125053176415	-3.84724870892616	-15.5083312572928	-13.6351512683176
run03-122	-2.83944229162566	-2.25170508006565	-14.7872904265596	-10.9427301000377	-0.696059350489863	-15.6803595235137	-4.94140470257112	-15.5083312572928	-16.253348924675
run03-125	-3.58666304023249	-2.3970919867848	-7.28646482113529	-6.81651898075406	-0.604721543332524	-8.28646482113529	-4.32214055273929	-15.5083312572928	-10.205846360927
run03-127	-4.55420616830641	-2.03220886328762	-9.21717118102884	-7.4576041579255	-0.604852312646794	-5.84304687501605	-5.02908125628937	-15.5083312572928	-16.253348924675
run03-128	-5.25084113650888	-1.77706282462473	-14.7872904265596	-14.6439125439491	-0.758266342408034	-6.94080925113792	-3.60354950249456	-15.5083312572928	-11.489245875834
run03-130	-5.6455711509516	-12.8871571375214	-14.7872904265596	-14.6439125439491	-1.25461626097446	-15.6803595235137	-0.834475885332947	-15.5083312572928	-16.253348924675
run03-132	-3.57714219651317	-2.31138801220017	-14.7872904265596	-6.55436693842457	-0.629511517264655	-15.6803595235137	-4.12398492359974	-11.4439795426013	-16.253348924675
run03-133	-5.23769805015443	-2.15284432352419	-14.7872904265596	-11.0174174052978	-0.469077117621687	-9.55798578666054	-5.36816122778052	-15.5083312572928	-12.4324549045767
run03-134	-3.44896427281584	-2.97051406734801	-11.1213896147873	-10.8318829975923	-0.4346945625528	-13.2913146162296	-4.64745842645492	-15.5083312572928	-16.253348924675
run03-135	-3.29698722472568	-2.48559327450094	-14.7872904265596	-7.78758252233497	-0.55735011782015	-8.13807976941911	-5.00057624566917	-10.2120803508629	-16.253348924675
