feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota	Campylobacterota
run06-96	0.0995318412107997	0.182004745719233	0	0.00051305072789072	0.556082857692554	0.00153915218367216	0.00057718206887706	0.159751170396973	0	0
run07-Cah7-51	0.0912807898148456	0.265598510786823	0.00216068876109431	0.00438786025329921	0.635275737127281	0	0	0.00129641325665658	0	0
run07-Cah7-53	0.173804993592979	0.431522541063177	0	0	0.345124839824486	0	0	0.049547625519357	0	0
run07-Cah7-55	0.0240478356947875	0.188699683695134	0	0.000476623770527319	0.683868451839334	0	0.000346635469474414	0.102560769530742	0	0
run07-Cah7-56	0.0124022133180691	0.634277809578325	0.000143102461362335	0.00224193856134326	0.33271322266743	0	0	0.015788971570311	0.0024327418431597	0
run07-Cah7-59	0.0598619948024016	0.274935030020611	0	0.021507303521821	0.602562953669684	0	0	0.0408638766914598	0.000268841294022762	0
run07-Cah7-60	0.0462931649945515	0.167775147484312	0	0.000976966144365536	0.764964491038214	0	0	0.0199902303385563	0	0
run07-Cah7-61	0.0534562211981567	0.253068154256609	0.00291050206160563	0.00664564637399952	0.599369391219985	0	0.000242541838467136	0.0843075430511763	0	0
run07-Cah7-62	0.0166537137781725	0.343122016209615	0	0.00338625513489508	0.599589208393472	0	0	0.0372488064838459	0	0
run07-Cah7-63	0.040910162697477	0.389471822683329	0	0.00106107050224004	0.557946239094553	0	0.000648431973591134	0.00418533364772459	0.00577693940108465	0
run07-Cah7-66	0.0886172070772268	0.31422279596021	0.0060748728073506	0.00311337231376718	0.530184524261523	0.00440428278532918	0.000379679550459412	0.0364492368441036	0.0165540284000304	0
run07-Cah7-69	0.0273005529225908	0.1961887835703	0.00686216429699842	0.0050849131121643	0.707543443917852	0	0	0.0226599526066351	0.0343601895734597	0
run07-Cah7-72	0.0171317326411421	0.14401903525849	0	0.00237940731126974	0.735453168937919	0	0	0.0159203980099502	0.0850962578412286	0
run07-Cah7-73	0.104559440559441	0.28027972027972	0.00229370629370629	0.0127552447552448	0.57393006993007	0.000223776223776224	0	0.0174545454545455	0.0085034965034965	0
run07-Cah7-75	0.0924848484848485	0.249616161616162	0.00137373737373737	0.00561616161616162	0.599919191919192	0.000606060606060606	0.000929292929292929	0.0494545454545455	0	0
