feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota	Campylobacterota	Synergistota
run02-66	-3.41755453675946	-2.26965253434825	-14.706424068579	-10.9599415770974	-0.742185781835401	-14.2599638873753	-15.0043521571528	-3.31188365134408	-13.5341407363414	-14.5812594374085	-12.3564519702218
run02-68	-2.59105835260834	-2.14554370887062	-14.706424068579	-7.8554181559087	-0.860998160260374	-14.2599638873753	-15.0043521571528	-4.23414195579946	-13.5341407363414	-14.5812594374085	-12.3564519702218
run02-91	-4.36199176896117	-2.00994724483605	-14.706424068579	-14.0350568092386	-2.75282957336868	-4.06467622855542	-15.0043521571528	-1.40035922685606	-3.10615286453158	-14.5812594374085	-12.3564519702218
run03-51	-4.30963581625547	-4.69027061140217	-14.706424068579	-14.0350568092386	-0.317511311204924	-14.2599638873753	-15.0043521571528	-3.20575467242859	-13.5341407363414	-14.5812594374085	-12.3564519702218
run03-53	-2.85959746032849	-4.00317891066751	-14.706424068579	-14.0350568092386	-0.35237167815516	-14.2599638873753	-11.8531424381912	-5.97750277656711	-13.5341407363414	-14.5812594374085	-11.2010657416115
run03-59	-5.09491561159275	-1.76668853468718	-14.706424068579	-10.5073892306146	-0.709506675466332	-10.0126245388651	-11.5073892306146	-3.99025672583661	-11.2663811311108	-14.5812594374085	-12.3564519702218
run03-61	-6.83850362062827	-14.1365906637914	-14.706424068579	-14.0350568092386	-0.609818519191318	-8.66857861918596	-15.0043521571528	-3.95246838761829	-1.89712990781232	-11.1015380264621	-12.3564519702218
run03-72	-2.25962311007706	-2.56820966772526	-14.706424068579	-8.70826413958544	-0.944317126782151	-10.3910739637047	-15.0043521571528	-3.32555153618527	-13.5341407363414	-14.5812594374085	-12.3564519702218
run03-73	-3.674625532743	-1.73546713158601	-14.706424068579	-14.0350568092386	-0.995509273349632	-12.8064824933518	-15.0043521571528	-3.06277006674501	-13.5341407363414	-14.5812594374085	-12.3564519702218
run03-75	-2.30947210455494	-2.3183230221372	-14.706424068579	-14.0350568092386	-0.835188006474953	-14.2599638873753	-15.0043521571528	-4.74640770646803	-13.5341407363414	-14.5812594374085	-12.3564519702218
run03-78	-4.20841781465192	-1.56831154321001	-14.706424068579	-11.6135592777883	-0.788699954621246	-13.0285967770671	-10.0285967770671	-5.13580101134438	-13.5341407363414	-14.5812594374085	-12.3564519702218
run03-80	-5.38459157701434	-1.62933814078655	-14.706424068579	-4.35041446169626	-0.891421552212679	-10.0508541798373	-15.0043521571528	-3.97078979090817	-13.5341407363414	-14.5812594374085	-12.3564519702218
run03-86	-1.00214335953981	-8.16308757138876	-14.706424068579	-14.0350568092386	-1.01485441128937	-14.2599638873753	-12.1327139223452	-8.85969542793882	-13.5341407363414	-14.5812594374085	-12.3564519702218
run03-92	-3.65955220098592	-2.33714883182613	-14.706424068579	-7.11068904089149	-0.598615942512965	-6.95090859685472	-15.0043521571528	-4.60818870036231	-9.58317681235424	-7.65717739379801	-12.3564519702218
run04-52	-2.48608401082936	-2.55322067979844	-14.706424068579	-7.79719830702143	-0.655389734918233	-9.97652200646599	-15.0043521571528	-6.65459391157863	-13.5341407363414	-10.2566299256587	-12.3564519702218
run04-72	-2.2529791738587	-3.2973592854492	-8.08497296495323	-14.0350568092386	-0.634710586520368	-14.2599638873753	-15.0043521571528	-4.61743954781896	-13.5341407363414	-14.5812594374085	-12.3564519702218
run04-74	-4.91924545395191	-3.19511176654991	-14.706424068579	-6.6235448591978	-1.58569061976401	-1.94367967226211	-12.6896340496556	-2.15435867303476	-5.07247272654626	-14.5812594374085	-12.3564519702218
run05-73	-5.9507265044586	-2.21376091029239	-7.44642166708267	-5.5824832166587	-1.01234949843949	-2.67383216318574	-15.0043521571528	-3.55047282175608	-8.01702887482675	-14.5812594374085	-12.3564519702218
run06-90	-3.14314645026115	-2.14865197140904	-14.706424068579	-8.88411397498485	-0.61958449420414	-14.2599638873753	-15.0043521571528	-6.91108102258513	-13.5341407363414	-14.5812594374085	-12.3564519702218
run06-93	-3.54690201613302	-2.33932116403106	-10.9577066662897	-8.63577857140231	-0.546902016133022	-14.2599638873753	-15.0043521571528	-5.11640441230873	-10.9577066662897	-14.5812594374085	-12.3564519702218
run06-94	-4.621466544029	-2.53338738591309	-14.706424068579	-12.3114645154484	-0.779839377025821	-11.7265020147273	-10.9895364205611	-2.33776714914309	-7.53010480192378	-14.5812594374085	-12.3564519702218
run06-95	-2.62198096027381	-2.02150106921092	-14.706424068579	-9.00856201350342	-0.833874066035151	-11.0789513413948	-9.94144781764489	-5.2410080995038	-11.4008794362822	-14.5812594374085	-12.3564519702218
run06-96	-3.32869805800527	-2.45795202613185	-14.706424068579	-10.9286109001924	-0.846628230866725	-9.34364839947125	-10.7586858987501	-2.64610159395157	-13.5341407363414	-14.5812594374085	-12.3564519702218
run07-Cah7-55	-5.37794913249052	-2.40583609024176	-14.706424068579	-11.0348614750907	-0.548209258272046	-14.2599638873753	-11.494293093728	-3.28544910299338	-13.5341407363414	-14.5812594374085	-12.3564519702218
run07-Cah7-56	-6.33325858060946	-0.656813225003053	-12.7706638929168	-8.80103754196028	-1.587648892034	-14.2599638873753	-15.0043521571528	-5.9849389868307	-8.68320105166642	-14.5812594374085	-12.3564519702218
run07-Cah7-59	-4.06221583470113	-1.86283735967225	-14.706424068579	-5.53902953156667	-0.730816117939018	-14.2599638873753	-15.0043521571528	-4.61303011301044	-11.860957626454	-14.5812594374085	-12.3564519702218
run07-Cah7-60	-4.43305698886773	-2.57539906955405	-14.706424068579	-9.99940381142154	-0.386535314130504	-14.2599638873753	-15.0043521571528	-5.64456109406145	-13.5341407363414	-14.5812594374085	-12.3564519702218
run07-Cah7-61	-4.22549833220427	-1.98240212274768	-8.42451624516691	-7.2333747578149	-0.738482685147789	-14.2599638873753	-12.0094787458881	-3.56819447396103	-13.5341407363414	-14.5812594374085	-12.3564519702218
run07-Cah7-62	-5.90801225560684	-1.54320639639666	-14.706424068579	-8.20609360853984	-0.737953677474386	-14.2599638873753	-15.0043521571528	-4.74666198990254	-13.5341407363414	-14.5812594374085	-12.3564519702218
